ID,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode
0,20141013,221900,3.0,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178
1,20141209,538000,3.0,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125
2,20150225,180000,2.0,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028
3,20141209,604000,4.0,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136
4,20150218,510000,3.0,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074
5,20140512,1225000,4.0,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053
6,20140627,257500,3.0,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003
7,20150115,291850,3.0,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198
8,20150415,229500,3.0,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146
9,20150312,323000,3.0,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038
10,20150403,662500,3.0,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007
11,20140527,468000,2.0,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115
12,20140528,310000,3.0,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028
13,20141007,400000,3.0,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074
14,20150312,530000,5.0,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107
15,20150124,650000,4.0,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126
16,20140731,395000,3.0,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019
17,20140529,485000,4.0,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103
18,20141205,189000,2.0,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002
19,20150424,230000,3.0,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003
20,20140514,385000,4.0,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133
21,20140826,2000000,3.0,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040
22,20140703,285000,5.0,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092
23,20140516,252700,2.0,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030
24,20141120,329000,3.0,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030
25,20141103,233000,3.0,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002
26,20140626,937000,3.0,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119
27,20141201,667000,3.0,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112
28,20140624,438000,3.0,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115
29,20150302,719000,4.0,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052
30,20141110,580500,3.0,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027
31,20141201,280000,2.0,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133
