ID,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode
6325,20140527,325000,3.0,1.75,1780,13095,1.0,0,0,4,9,1780,0,1983,0,98042
13473,20150310,257000,2.0,1.0,1000,3700,1.0,0,0,3,6,800,200,1929,0,98118
17614,20150226,228500,3.0,1.0,1080,7486,1.5,0,0,3,6,990,90,1942,0,98146
16970,20150108,288000,3.0,2.25,2090,7500,1.0,0,0,4,7,1280,810,1977,0,98031
20868,20150417,479000,2.0,2.5,1741,1439,2.0,0,0,3,8,1446,295,2007,0,98034
8993,20140811,459900,3.0,1.75,2340,51836,1.5,0,0,3,8,1510,830,1978,0,98027
10432,20140603,449500,5.0,2.75,2040,7488,1.0,0,0,4,7,1200,840,1969,0,98034
10163,20150113,769000,5.0,2.25,3320,13138,1.0,0,2,4,9,1900,1420,1964,0,98028
17889,20140610,680000,3.0,1.75,1760,8400,1.0,0,0,4,8,1460,300,1960,0,98136
13246,20150327,293500,3.0,2.5,1610,5024,2.0,0,0,3,7,1610,0,2004,0,98038
7958,20150329,203000,3.0,1.75,1190,6000,1.0,0,0,3,7,1190,0,1952,2015,98178
14227,20150429,360000,5.0,3.0,2480,7200,1.0,0,0,3,7,1560,920,1999,0,98188
5564,20140722,258000,3.0,2.0,1390,7200,1.0,0,0,3,7,1390,0,1996,0,98058
2154,20140926,245990,3.0,1.0,1040,8410,1.0,0,0,3,7,1040,0,1942,2014,98188
5701,20150311,352000,5.0,2.75,2980,9838,1.0,0,0,3,7,1710,1270,1968,0,98030
21058,20140612,300000,3.0,3.25,1470,1235,2.0,0,0,3,7,1180,290,2008,0,98108
6346,20150106,430000,2.0,1.0,700,4800,1.0,0,0,3,7,700,0,1922,0,98122
2298,20140827,900000,5.0,3.0,4350,37169,2.0,0,0,3,10,2950,1400,1972,0,98005
3168,20140729,285000,4.0,2.0,1760,5500,1.0,0,1,3,7,780,980,1925,2004,98118
9405,20141007,353900,3.0,1.75,1560,5760,1.0,0,0,5,6,780,780,1927,0,98106
8704,20140508,780000,4.0,1.75,2480,9195,1.0,0,0,3,7,1390,1090,1950,0,98004
4767,20150211,600000,5.0,2.25,2760,6350,1.0,0,0,3,7,1380,1380,1958,0,98126
19979,20140714,447055,4.0,2.5,2448,4949,2.0,0,0,3,9,2448,0,2014,0,98030
9805,20150224,284200,3.0,1.75,1540,6632,1.0,0,0,3,7,1070,470,1959,0,98178
